Senaryo,Varyant,Tamamlama Oranı,Çakışma,Makespan,Bekleme,Micro-Replan
bottleneck_shelves,Koordineli (Edge Kapalı),5/8 (%62.5),0,219,993,594
bottleneck_shelves,Koordineli (Statik Öncelik),7/8 (%87.5),0,219,970,0
bottleneck_shelves,Koordineli (Micro-Replan Kapalı),8/8 (%100.0),1,36,43,0
bottleneck_shelves,Koordineli (Tam),8/8 (%100.0),0,36,43,2
high_load_6r_30t,Koordineli (Edge Kapalı),27/30 (%90.0),0,449,1934,678
high_load_6r_30t,Koordineli (Statik Öncelik),30/30 (%100.0),0,146,78,0
high_load_6r_30t,Koordineli (Micro-Replan Kapalı),30/30 (%100.0),0,145,82,0
high_load_6r_30t,Koordineli (Tam),30/30 (%100.0),0,145,82,0
merge_burst_priority,Koordineli (Edge Kapalı),0/4 (%0.0),0,149,441,280
merge_burst_priority,Koordineli (Statik Öncelik),1/4 (%25.0),129,149,416,282
merge_burst_priority,Koordineli (Micro-Replan Kapalı),4/4 (%100.0),0,27,16,0
merge_burst_priority,Koordineli (Tam),4/4 (%100.0),0,27,16,0
parking_bay_micro_replan,Koordineli (Edge Kapalı),4/4 (%100.0),0,10,14,2
parking_bay_micro_replan,Koordineli (Statik Öncelik),4/4 (%100.0),0,10,14,0
parking_bay_micro_replan,Koordineli (Micro-Replan Kapalı),4/4 (%100.0),2,12,19,0
parking_bay_micro_replan,Koordineli (Tam),4/4 (%100.0),0,10,11,2
