Senaryo,Mod,Tamamlama Oranı,Çakışma,Makespan,Throughput,Bekleme,Ortalama Görev Süresi
narrow_corridor_swap,Baseline,1/3 (%33.3),112,119,0.0084,349,3.0
narrow_corridor_swap,Öncelikli Baseline,3/3 (%100.0),0,11,0.2727,10,7.667
narrow_corridor_swap,Koordineli,3/3 (%100.0),0,11,0.2727,10,7.667
intersection_4way_crossing,Baseline,0/4 (%0.0),678,119,0.0,468,0.0
intersection_4way_crossing,Öncelikli Baseline,4/4 (%100.0),0,10,0.4,4,9.25
intersection_4way_crossing,Koordineli,4/4 (%100.0),0,10,0.4,4,9.25
bottleneck_shelves,Baseline,0/8 (%0.0),619,219,0.0,1047,0.0
bottleneck_shelves,Öncelikli Baseline,7/8 (%87.5),0,219,0.032,970,21.714
bottleneck_shelves,Koordineli,8/8 (%100.0),0,36,0.2222,43,23.25
high_load_6r_30t,Baseline,5/30 (%16.7),1996,449,0.0111,2498,41.0
high_load_6r_30t,Öncelikli Baseline,30/30 (%100.0),0,146,0.2055,78,73.033
high_load_6r_30t,Koordineli,30/30 (%100.0),0,145,0.2069,82,71.867
