Senaryo,Planlayıcı,Makespan,Throughput,Genişletilen Düğüm,Planlama Süresi (ms)
narrow_corridor_swap,A*,11,0.2727,192,2.763
narrow_corridor_swap,Dijkstra,11,0.2727,942,13.434
narrow_corridor_swap,A* (Ağırlıklı),11,0.2727,159,2.205
intersection_4way_crossing,A*,10,0.4,302,3.948
intersection_4way_crossing,Dijkstra,10,0.4,1988,21.211
intersection_4way_crossing,A* (Ağırlıklı),10,0.4,260,4.563
bottleneck_shelves,A*,33,0.2424,1651,20.67
bottleneck_shelves,Dijkstra,35,0.2286,20117,213.123
bottleneck_shelves,A* (Ağırlıklı),33,0.2424,1205,10.533
high_load_6r_30t,A*,117,0.2564,10361,122.75
high_load_6r_30t,Dijkstra,117,0.2564,199769,4371.482
high_load_6r_30t,A* (Ağırlıklı),117,0.2564,5996,98.31
dynamic_obstacle,A*,11,0.3636,483,7.527
dynamic_obstacle,Dijkstra,12,0.3333,5869,64.011
dynamic_obstacle,A* (Ağırlıklı),11,0.3636,279,5.006
